,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
181,BC,21,14,0,0,0,0,0,0,2020,03,06
209,BC,64,43,1,1,0,0,0,0,2020,03,13
261,BC,348,284,9,8,0,0,0,0,2020,03,20
298,BC,792,444,16,7,0,0,0,0,2020,03,27
749,BC,83107,3913,1380,25,255,23,66,3,2021,03,05
932,BC,86867,3760,1397,17,255,0,67,1,2021,03,12
1043,BC,90786,3919,1421,24,292,37,85,18,2021,03,19
1120,BC,95677,4891,1449,28,294,2,81,-4,2021,03,26
1495,BC,349944,2613,2903,63,484,-115,69,-27,2022,03,04
1509,BC,352039,2435,2935,39,368,-143,46,-33,2022,03,11
1428,BC,353578,1539,2966,31,290,-78,46,0,2022,03,18
1483,BC,355092,1514,2983,17,260,-30,50,4,2022,03,25
2256,BC,396472,406,5218,26,237,-3,14,-3,2023,03,03
2270,BC,396817,345,5249,31,205,-32,18,4,2023,03,10
